# MIDI File Information
Filename,Arbeau_Thoinot_-_Pavana.mid
Duration (seconds),90.43
Tempo Adjustment Factor,1.00
Resolution (ticks/beat),240

# Tempo Changes
Time (seconds),Tempo (BPM)
0.0000,89.00
44.4944,86.00
47.2851,89.00
87.7345,80.00

# Time Signature Changes
Time (seconds),Numerator,Denominator
0.0000,2,4

# Instrument 1: Unnamed 
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
47,43.8202,44.3595,0.5393,57,A3,127,127,0
48,44.4944,45.0525,0.5581,52,E3,127,127,0
49,45.1920,45.7502,0.5581,52,E3,127,127,0
50,45.8897,47.0060,1.1163,57,A3,127,127,0
51,47.2851,48.3637,1.0787,57,A3,127,127,0
52,48.6334,49.1727,0.5393,57,A3,127,127,0
53,49.3075,49.8469,0.5393,52,E3,127,127,0
54,49.9817,50.5210,0.5393,57,A3,127,127,0
55,50.6558,51.1952,0.5393,55,G3,127,127,0
56,51.3300,52.4087,1.0787,48,C3,127,127,0
57,52.6783,53.2176,0.5393,48,C3,127,127,0
58,53.3525,53.8918,0.5393,48,C3,127,127,0
59,54.0266,54.5660,0.5393,53,F3,127,127,0
60,54.7008,55.2401,0.5393,52,E3,127,127,0
61,55.3749,55.9143,0.5393,53,F3,127,127,0
62,56.0491,56.5884,0.5393,55,G3,127,127,0
63,56.7233,57.8019,1.0787,48,C3,127,127,0
64,58.0716,59.1502,1.0787,57,A3,127,127,0
65,59.4199,59.9592,0.5393,57,A3,127,127,0
66,60.0940,60.6334,0.5393,52,E3,127,127,0
67,60.7682,61.3075,0.5393,57,A3,127,127,0
68,61.4424,61.9817,0.5393,55,G3,127,127,0
69,62.1165,63.1952,1.0787,48,C3,127,127,0
70,63.4648,64.0042,0.5393,48,C3,127,127,0
71,64.1390,64.6783,0.5393,48,C3,127,127,0
72,64.8131,65.3525,0.5393,50,D3,127,127,0
73,65.4873,66.0266,0.5393,52,E3,127,127,0
74,66.1615,66.7008,0.5393,57,A3,127,127,0
75,66.8356,67.3749,0.5393,55,G3,127,127,0
76,67.5098,68.5884,1.0787,48,C3,127,127,0
77,68.8581,69.9367,1.0787,60,C4,127,127,0
78,70.2064,70.7457,0.5393,55,G3,127,127,0
79,70.8806,71.4199,0.5393,52,E3,127,127,0
80,71.5547,72.0940,0.5393,53,F3,127,127,0
81,72.2289,72.7682,0.5393,50,D3,127,127,0
82,72.9030,73.9817,1.0787,52,E3,127,127,0
83,74.2513,75.3300,1.0787,48,C3,127,127,0
84,75.5997,76.1390,0.5393,50,D3,127,127,0
85,76.2738,76.8131,0.5393,57,A3,127,127,0
86,76.9480,77.4873,0.5393,52,E3,127,127,0
87,77.6221,78.1614,0.5393,52,E3,127,127,0
88,78.2963,79.3749,1.0787,57,A3,127,127,0
89,79.6446,80.7232,1.0787,60,C4,127,127,0
90,80.9929,81.5322,0.5393,55,G3,127,127,0
91,81.6671,82.2064,0.5393,52,E3,127,127,0
92,82.3412,82.8805,0.5393,53,F3,127,127,0
93,83.0154,83.5547,0.5393,50,D3,127,127,0
94,83.6895,84.7682,1.0787,52,E3,127,127,0
95,85.0378,86.1165,1.0787,48,C3,127,127,0
96,86.3862,86.9255,0.5393,50,D3,127,127,0
97,87.0603,87.5996,0.5393,57,A3,127,127,0
98,87.7345,88.3345,0.6000,52,E3,127,127,0
99,88.4845,89.0845,0.6000,52,E3,127,127,0
100,89.2345,90.4345,1.2000,57,A3,127,127,0

# Control Changes for Instrument 4
Time (s),Control Number,Control Name,Value
0.0000,7,Volume,91
0.0000,10,Pan,91
0.0787,91,Reverb,62

# Instrument 5: Unnamed (Drum)
Note #,Start (s),End (s),Duration (s),Pitch,Note Name,Velocity,Note-on Velocity,Note-off Velocity
1,0.0000,0.5393,0.5393,87,D#6,127,127,0
2,0.6742,0.9438,0.2697,87,D#6,127,127,0
3,1.0112,1.2809,0.2697,87,D#6,127,127,0
4,1.3483,1.8876,0.5393,87,D#6,127,127,0
5,2.0225,2.2921,0.2697,87,D#6,127,127,0
6,2.3595,2.6292,0.2697,87,D#6,127,127,0
7,2.6966,3.2360,0.5393,87,D#6,127,127,0
8,3.3708,3.9101,0.5393,87,D#6,127,127,0
9,4.0449,4.5843,0.5393,87,D#6,127,127,0
10,4.7191,4.9888,0.2697,87,D#6,127,127,0
11,5.0562,5.3258,0.2697,87,D#6,127,127,0
12,5.3933,5.9326,0.5393,87,D#6,127,127,0
13,6.0674,6.3371,0.2697,87,D#6,127,127,0
